ano,mes,codigo_rnt,cod_mun,cod_dpto,estado_rnt,razon_social_establecimiento,departamento,municipio,categoria,num_emp1,sub_categoria,habitaciones,camas
2024,4,207487,20001,20,ACTIVO,ANDRES FABIAN AFANADOR PALOMINO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,FINCA TURISTICA (ALOJAMIENTO RURAL),20,15
2024,4,207493,20001,20,ACTIVO,LOPEZ URIBE LUIS GEOVANNY,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,CASA TURÍSTICA,3,3
2024,4,207496,20001,20,ACTIVO,SOLUCIONES C&C,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,3,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,4,207502,20001,20,ACTIVO,ANDRES FABIAN AFANADOR PALOMINO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,CASA TURÍSTICA,10,6
2024,4,207531,20001,20,ACTIVO,GONZALEZ RODRIGUEZ SAMUEL,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,4
2024,4,207573,20001,20,ACTIVO,ALEXANDRA DEL PILAR JIMENEZ OROZCO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,CASA TURÍSTICA,1,8
2024,4,207613,20001,20,ACTIVO,RAFAEL JOSE PINO HERNANDEZ,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,6
2024,4,207745,20001,20,ACTIVO,KARINA MARGARITA PEREZ MATIZ,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,CASA TURÍSTICA,1,8
2024,4,207847,20001,20,ACTIVO,ELIANA ALEXANDRA GARCIA CASTAÑO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,6,5
2024,4,207878,20001,20,ACTIVO,ECO HOTEL EL BOSQUE VALLEDUPAR,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,0,HOTEL,30,50
2024,5,208175,20001,20,ACTIVO,GONZALEZ RODRIGUEZ SAMUEL,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,5
2024,5,208226,20001,20,ACTIVO,NULBIS ROSARIO DIAZ DAZA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,3,2
2024,5,208871,20001,20,ACTIVO,AISKELI KIXARI SARDOTH REDONDO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,10,5
2024,5,209038,20001,20,ACTIVO,EDGAR HAMETH CARIACIOLO IGLESIAS,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,2,1
